combination,surgeon_group,frequency,total_amount,avg_amount_per_case
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,3065.7545,3065.7545
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג - 15 סיכות (1) + טרוקר CFF03 - 5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,1,1949.8043,1949.8043
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 10 176625 (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,3102.7367,3102.7367
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 176630 (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נטען-20 סיכות MICROVAL (1),Cheap,1,3268.4999,3268.4999
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 176630 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר CFF03 - 5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים מונופולר 5 מ""מ (1) + סקשן איריגיישיין 5 (1) + שרוול לטרוקר 5 - CFS02 (1)",Cheap,1,2721.5832,2721.5832
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 176630 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,1,2444.3329,2444.3329
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 176630 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים מונופולר 5 מ""מ (1) + סקשן איריגיישיין 5 (1)",Cheap,1,2571.836,2571.836
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + שרוול אקסל OPTI-12X100 (1),Cheap,1,2478.1368,2478.1368
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נטען-20 סיכות MICROVAL (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1)",Cheap,1,3216.0347,3216.0347
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,3012.8642,3012.8642
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,3044.4664000000002,3044.4664000000002
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,1,3206.6269,3206.6269
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,3301.6314,3301.6314
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-25 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,3163.5368,3163.5368
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2565.7868,2565.7868
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,1,2426.9992,2426.9992
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נטען-20 סיכות MICROVAL (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2643.181,2643.181
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נטען-20 סיכות MICROVAL (1) + טרוקר אקסל עם סכין 10-11 D11LT (1),Cheap,1,2569.292,2569.292
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג - 15 סיכות (1) + טרוקר CFF03 - 5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,1,1866.0509,1866.0509
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג - 30 סיכות (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,1,2499.9146,2499.9146
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג-12 סיכות-ETHICON (1) + מחט ורז 120 מ""מ - חד פעמי (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2291.0420000000004,2291.0420000000004
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2289.9702,2289.9702
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2498.5176,2498.5176
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,1791.3991,1791.3991
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,1798.3875,1798.3875
"3DMAX LARGE 10.8X16-LEFT (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טאקר נספג-12 סיכות-ETHICON (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2188.7166,2188.7166
3DMAX LARGE 10.8X16-LEFT (2) + 3DMAX LARGE 10.8X16-RIGHT (2) + LIQUIBAND FIX8 טאקר דבק (2) + טרוקר אקסל ללא סכין 11 B11LT (2) + טרוקר אקסל עם סכין 5 D5ST (2) + סקשן איריגיישיין 5 (2),Cheap,1,4318.2388,4318.2388
3DMAX LARGE 10.8X16-RIGHT (1) + 3DMAX MEDIUM 8.5X13.7-LEFT (1) + GLUTACK DEVICE 50 DROPS (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,1,1857.062,1857.062
"3DMAX LARGE 10.8X16-RIGHT (1) + 3DMAX MEDIUM 8.5X13.7-LEFT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2288.7852000000003,2288.7852000000003
3DMAX LARGE 10.8X16-RIGHT (1) + 3DMAX MEDIUM 8.5X13.7-LEFT (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1),Cheap,1,2830.803,2830.803
"3DMAX LARGE 10.8X16-RIGHT (1) + CLOSURE DEVICE (1) + LIQUIBAND FIX8 טאקר דבק (1) + VENTRALEX MEDIUM - 5950008 (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + טרוקר אקסל עם סכין 10-11 D11LT (1) + מספריים לאפ (1)",Cheap,1,2868.9120000000003,2868.9120000000003
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + CAPSURE טאקר 30 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2329.5499,2329.5499
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + טרוקר חסן 12 H12LP (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2247.7705,2247.7705
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + MONOCRYL-P.3/0 R.C 26-MCP3213H (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,1,2524.8041,2524.8041
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + SOL. SEPTAL SCRUB 500ML (1) + SOL.ALCOHOL+CHLORHEXIDINE 0.5L (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאנדו (1) + שרוול אקסל OPTI-12X100 (1),Cheap,1,2533.2322999999997,2533.2322999999997
"3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + V-LOC 3/0 R.B.26-VLOCL0604 (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מחט ורז 120 מ""מ - חד פעמי (1)",Cheap,1,2594.7230999999997,2594.7230999999997
"3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + V-LOC 3/0 R.B.26-VLOCM0604 (1) + טאקר נספג - 15 סיכות (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מחט ורז 120 מ""מ - חד פעמי (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2039.7156,2039.7156
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + טאקר נספג - 15 סיכות (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,1992.1531,1992.1531
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-12X100 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2676.395,2676.395
"3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול אקסל OPTI-5X100 (1)",Cheap,1,2522.5020999999997,2522.5020999999997
"3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מחט ורז 120 מ""מ - חד פעמי (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2533.0299999999997,2533.0299999999997
"3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 10X16CM - LEFT (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מחט ורז 150 מ""מ - חד פעמי (1)",Cheap,1,2599.9109,2599.9109
3DMAX LIGHT 10X 16CM - RIGHT (1) + 3DMAX LIGHT 8X 3CM - LEFT (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קליפ 5 EL5ML (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2718.3777999999998,2718.3777999999998
3DMAX LIGHT 8X13CM - RIGHT (1) + 3DMAX MEDIUM 8.5X13.7-LEFT (1) + CAPSURE טאקר 30 (1) + טרוקר חסן 12 H12LP (1),Cheap,1,2027.5778,2027.5778
3DMAX MEDIUM 8.5X13.7-LEFT (1) + 3DMAX MEDIUM 8.5X13.7-RIGHT (1) + טאקר נטען-20 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,1,1779.2132,1779.2132
ANATOMIC LIGHT 10X14CM LF (1) + ANATOMIC LIGHT 10X14CM RT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,1825.604,1825.604
"ANTI FOG (1) + PROGRIP FLAT SHEET MESH 15X10 (1) + בלון דו צדדי PDBS2 (1) + טרוקר CFF03 - 5X100 (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול לטרוקר 5 - CFS02 (1)",Cheap,1,1349.368,1349.368
"CAPSURE טאקר 30 (1) + CLOSURE DEVICE (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + טרוקר אקסל OPTI-סכין-12X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול אקסל OPTI-5X100 (1)",Cheap,1,2049.2160000000003,2049.2160000000003
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + DYNAMESH 20X30 (1) + STRATAFIX PDS 0 -SXPP1A433 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,4496.9952,4496.9952
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + DYNAMESH 20X30 (1) + אנדו קליפ 5 EL5ML (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,5134.6605,5134.6605
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + DYNAMESH 30X30 (1) + STRATAFIX PDS 0 -SXPP1A433 (1) + STRATAFIX PDS 0-SXPP1B406 (2) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,5224.6608,5224.6608
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + DYNAMESH 30X30 (1) + STRATAFIX PDS 0 -SXPP1A433 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,5178.366,5178.366
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + DYNAMESH 30X30 (1) + אנדו קליפ 5 EL5ML (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,5779.3616,5779.3616
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + PROGRIP FLAT SHEET MESH 16X12 (1) + STRATAFIX PDS 0 -SXPP1A433 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,1,2997.176,2997.176
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + PROGRIP FLAT SHEET MESH 16X12 (1) + STRATAFIX PDS 0 -SXPP1A433 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,3006.6707,3006.6707
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + PROGRIP FLAT SHEET MESH 16X12 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,3152.7905,3152.7905
"CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + PROGRIP FLAT SHEET MESH 16X12 (1) + טרוקר אקסל OPTI-5X100 (1) + מספריים מונופולר 5 מ""מ (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-5X100 (1)",Cheap,1,3160.3646,3160.3646
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + PROGRIP FLAT SHEET MESH 16X12 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2940.7386,2940.7386
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + אנדו קליפ 5 EL5ML (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,1,2792.3712,2792.3712
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1),Cheap,1,2049.3221000000003,2049.3221000000003
"CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל OPTI-5X100 (1)",Cheap,1,2205.8962,2205.8962
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,2198.3221000000003,2198.3221000000003
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (2),Cheap,1,2071.7991,2071.7991
CAPSURE טאקר 30 (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,1720.2707,1720.2707
CAPSURE טאקר 30 (1) + DYNAMESH ENDOLAP 3D 10*15CM (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,1,2317.0595,2317.0595
CAPSURE טאקר 30 (1) + PROGRIP FLAT SHEET MESH 15X10 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1) + שרוול אקסל OPTI-12X100 (1),Cheap,1,2289.6895,2289.6895
CLOSURE DEVICE (1) + DYNAMESH 12-ROUND (1) + FILBLOC 90 3/0  - FU395HHFAB (1) + FILBLOC PDO 0 - FR424HHAB (1) + MICROVAL 16X11-LEFT (1) + MICROVAL 16X11-RIGHT (1) + טאקר נטען-20 סיכות MICROVAL (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + שרוול אקסל OPTI-5X100 (1),Cheap,1,3623.8209999999995,3623.8209999999995
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1),Cheap,1,760.0,760.0
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + GLUBRAN2-SURGICAL GLUE-1ML (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קלינצ 5 מ''מ (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2314.4645,2314.4645
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + V-LOC 3/0 R.B.26-VLOCL0604 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2325.2333,2325.2333
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + V-LOC 3/0 R.B.26-VLOCM0604 (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג - 15 סיכות (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2623.5148,2623.5148
"DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + V-LOC 3/0 R.B.26-VLOCM0604 (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מחט ורז 120 מ""מ - חד פעמי (1)",Cheap,1,3019.8521,3019.8521
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + VERSAONE BLADED TROCAR WITH FI (1) + טאקר-10 סיכות MICROVAL (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,1605.4845,1605.4845
"DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + אנדו קלינצ 5 מ''מ (1) + אנדו קליפ 5 EL5ML (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל OPTI-12X100 (1)",Cheap,1,1682.4369,1682.4369
"DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2374.3518,2374.3518
"DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + אנדו קליפ 5 EL5ML (1) + בלון דו צדדי PDBS2 (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,1967.4018,1967.4018
"DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + אנדו קליפ 5 EL5ML (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,1,2465.0349,2465.0349
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + אנדו קליפ 5 EL5ML (1) + טאקר-10 סיכות MICROVAL (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,1,2231.0841,2231.0841
